Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Masculin, Constanta, Anul 2007, Mii persoane, 178.6
Masculin, Constanta, Anul 2008, Mii persoane, 183.8
Masculin, Constanta, Anul 2009, Mii persoane, 180.8
Masculin, Constanta, Anul 2010, Mii persoane, 171.6
Masculin, Constanta, Anul 2011, Mii persoane, 167.3
Masculin, Constanta, Anul 2012, Mii persoane, 169.9
Masculin, Constanta, Anul 2013, Mii persoane, 172.4
Masculin, Constanta, Anul 2014, Mii persoane, 167.6
Masculin, Constanta, Anul 2015, Mii persoane, 173.3
Masculin, Constanta, Anul 2016, Mii persoane, 174.4
Masculin, Constanta, Anul 2017, Mii persoane, 167.9
Masculin, Galati, Anul 1990, Mii persoane, 166.8
Masculin, Galati, Anul 1991, Mii persoane, 171.3
Masculin, Galati, Anul 1992, Mii persoane, 175.8
Masculin, Galati, Anul 1993, Mii persoane, 166.7
Masculin, Galati, Anul 1994, Mii persoane, 167.7
Masculin, Galati, Anul 1995, Mii persoane, 175.1
Masculin, Galati, Anul 1996, Mii persoane, 159.3
Masculin, Galati, Anul 1997, Mii persoane, 158
Masculin, Galati, Anul 1998, Mii persoane, 158.9
Masculin, Galati, Anul 1999, Mii persoane, 148.1
Masculin, Galati, Anul 2000, Mii persoane, 144.6
Masculin, Galati, Anul 2001, Mii persoane, 138.2
Masculin, Galati, Anul 2002, Mii persoane, 130.8
Masculin, Galati, Anul 2003, Mii persoane, 128
Masculin, Galati, Anul 2004, Mii persoane, 124.8
Masculin, Galati, Anul 2005, Mii persoane, 122.7
Masculin, Galati, Anul 2006, Mii persoane, 119.5
Masculin, Galati, Anul 2007, Mii persoane, 122.7
Masculin, Galati, Anul 2008, Mii persoane, 124
Masculin, Galati, Anul 2009, Mii persoane, 117.7
Masculin, Galati, Anul 2010, Mii persoane, 110.8
Masculin, Galati, Anul 2011, Mii persoane, 105.7
Masculin, Galati, Anul 2012, Mii persoane, 108.9
Masculin, Galati, Anul 2013, Mii persoane, 110.7
Masculin, Galati, Anul 2014, Mii persoane, 110.3
Masculin, Galati, Anul 2015, Mii persoane, 108.9
Masculin, Galati, Anul 2016, Mii persoane, 107.7
Masculin, Galati, Anul 2017, Mii persoane, 106.3
Masculin, Tulcea, Anul 1990, Mii persoane, 71.2
Masculin, Tulcea, Anul 1991, Mii persoane, 70.1
Masculin, Tulcea, Anul 1992, Mii persoane, 71
Masculin, Tulcea, Anul 1993, Mii persoane, 67
Masculin, Tulcea, Anul 1994, Mii persoane, 65.4
Masculin, Tulcea, Anul 1995, Mii persoane, 74.1
Masculin, Tulcea, Anul 1996, Mii persoane, 65.7
Masculin, Tulcea, Anul 1997, Mii persoane, 55.2
Masculin, Tulcea, Anul 1998, Mii persoane, 55.6
Masculin, Tulcea, Anul 1999, Mii persoane, 51.9
Masculin, Tulcea, Anul 2000, Mii persoane, 52.1
Masculin, Tulcea, Anul 2001, Mii persoane, 52.1
Masculin, Tulcea, Anul 2002, Mii persoane, 47.9
Masculin, Tulcea, Anul 2003, Mii persoane, 51.1
Masculin, Tulcea, Anul 2004, Mii persoane, 47.8
Masculin, Tulcea, Anul 2005, Mii persoane, 48.2
Masculin, Tulcea, Anul 2006, Mii persoane, 48.4
Masculin, Tulcea, Anul 2007, Mii persoane, 47.1
Masculin, Tulcea, Anul 2008, Mii persoane, 48
Masculin, Tulcea, Anul 2009, Mii persoane, 46.9
Masculin, Tulcea, Anul 2010, Mii persoane, 46.5
Masculin, Tulcea, Anul 2011, Mii persoane, 45.3
Masculin, Tulcea, Anul 2012, Mii persoane, 48.4
Masculin, Tulcea, Anul 2013, Mii persoane, 46.2
Masculin, Tulcea, Anul 2014, Mii persoane, 45.9
Masculin, Tulcea, Anul 2015, Mii persoane, 45.1
Masculin, Tulcea, Anul 2016, Mii persoane, 44.8
Masculin, Tulcea, Anul 2017, Mii persoane, 45
Masculin, Vrancea, Anul 1990, Mii persoane, 95.7
Masculin, Vrancea, Anul 1991, Mii persoane, 96.1
Masculin, Vrancea, Anul 1992, Mii persoane, 99
Masculin, Vrancea, Anul 1993, Mii persoane, 98.5
Masculin, Vrancea, Anul 1994, Mii persoane, 96.5
Masculin, Vrancea, Anul 1995, Mii persoane, 98.9
Masculin, Vrancea, Anul 1996, Mii persoane, 93.9
Masculin, Vrancea, Anul 1997, Mii persoane, 83.9
Masculin, Vrancea, Anul 1998, Mii persoane, 83.7
Masculin, Vrancea, Anul 1999, Mii persoane, 81.3
Masculin, Vrancea, Anul 2000, Mii persoane, 81.7
Masculin, Vrancea, Anul 2001, Mii persoane, 79.9
Masculin, Vrancea, Anul 2002, Mii persoane, 77.5
Masculin, Vrancea, Anul 2003, Mii persoane, 76.2
Masculin, Vrancea, Anul 2004, Mii persoane, 71.5
Masculin, Vrancea, Anul 2005, Mii persoane, 73.7
Masculin, Vrancea, Anul 2006, Mii persoane, 73.5
Masculin, Vrancea, Anul 2007, Mii persoane, 75.3
Masculin, Vrancea, Anul 2008, Mii persoane, 78.1
Masculin, Vrancea, Anul 2009, Mii persoane, 77.8
Masculin, Vrancea, Anul 2010, Mii persoane, 78.3
Masculin, Vrancea, Anul 2011, Mii persoane, 74.1
Masculin, Vrancea, Anul 2012, Mii persoane, 77
Masculin, Vrancea, Anul 2013, Mii persoane, 77.7
Masculin, Vrancea, Anul 2014, Mii persoane, 74
Masculin, Vrancea, Anul 2015, Mii persoane, 75.1
Masculin, Vrancea, Anul 2016, Mii persoane, 72.7
Masculin, Vrancea, Anul 2017, Mii persoane, 72.9
Masculin, MACROREGIUNEA TREI, Anul 1990, Mii persoane, 1490.7
Masculin, MACROREGIUNEA TREI, Anul 1991, Mii persoane, 1511.6
Masculin, MACROREGIUNEA TREI, Anul 1992, Mii persoane, 1552.9
Masculin, MACROREGIUNEA TREI, Anul 1993, Mii persoane, 1543.1
Masculin, MACROREGIUNEA TREI, Anul 1994, Mii persoane, 1504.9
Masculin, MACROREGIUNEA TREI, Anul 1995, Mii persoane, 1413.7
Masculin, MACROREGIUNEA TREI, Anul 1996, Mii persoane, 1321.4
Masculin, MACROREGIUNEA TREI, Anul 1997, Mii persoane, 1319.2
Masculin, MACROREGIUNEA TREI, Anul 1998, Mii persoane, 1274.5
Masculin, MACROREGIUNEA TREI, Anul 1999, Mii persoane, 1179.5
Masculin, MACROREGIUNEA TREI, Anul 2000, Mii persoane, 1222.2
Masculin, MACROREGIUNEA TREI, Anul 2001, Mii persoane, 1197.7
Masculin, MACROREGIUNEA TREI, Anul 2002, Mii persoane, 1208.1
Masculin, MACROREGIUNEA TREI, Anul 2003, Mii persoane, 1233.3
Masculin, MACROREGIUNEA TREI, Anul 2004, Mii persoane, 1223.9
Masculin, MACROREGIUNEA TREI, Anul 2005, Mii persoane, 1284.5
Masculin, MACROREGIUNEA TREI, Anul 2006, Mii persoane, 1293.7
Masculin, MACROREGIUNEA TREI, Anul 2007, Mii persoane, 1323.3
Masculin, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 1366.7
Masculin, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 1332.3
Masculin, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 1308
Masculin, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 1287.8
Masculin, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 1325.1
Masculin, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 1327
Masculin, MACROREGIUNEA TREI, Anul 2014, Mii persoane, 1318.8
Masculin, MACROREGIUNEA TREI, Anul 2015, Mii persoane, 1316.8
Masculin, MACROREGIUNEA TREI, Anul 2016, Mii persoane, 1355.4
Masculin, MACROREGIUNEA TREI, Anul 2017, Mii persoane, 1355.6
Masculin, Regiunea SUD-MUNTENIA, Anul 1990, Mii persoane, 874.5
Masculin, Regiunea SUD-MUNTENIA, Anul 1991, Mii persoane, 865.2
Masculin, Regiunea SUD-MUNTENIA, Anul 1992, Mii persoane, 885.8
Masculin, Regiunea SUD-MUNTENIA, Anul 1993, Mii persoane, 914.1
Masculin, Regiunea SUD-MUNTENIA, Anul 1994, Mii persoane, 896.9
Masculin, Regiunea SUD-MUNTENIA, Anul 1995, Mii persoane, 860.7
Masculin, Regiunea SUD-MUNTENIA, Anul 1996, Mii persoane, 826.5
Masculin, Regiunea SUD-MUNTENIA, Anul 1997, Mii persoane, 819.8
Masculin, Regiunea SUD-MUNTENIA, Anul 1998, Mii persoane, 796.2
Masculin, Regiunea SUD-MUNTENIA, Anul 1999, Mii persoane, 782.2
Masculin, Regiunea SUD-MUNTENIA, Anul 2000, Mii persoane, 759.8
Masculin, Regiunea SUD-MUNTENIA, Anul 2001, Mii persoane, 733.1
Masculin, Regiunea SUD-MUNTENIA, Anul 2002, Mii persoane, 708.9
Masculin, Regiunea SUD-MUNTENIA, Anul 2003, Mii persoane, 695.7
Masculin, Regiunea SUD-MUNTENIA, Anul 2004, Mii persoane, 672.9
Masculin, Regiunea SUD-MUNTENIA, Anul 2005, Mii persoane, 680.7
Masculin, Regiunea SUD-MUNTENIA, Anul 2006, Mii persoane, 671.6
Masculin, Regiunea SUD-MUNTENIA, Anul 2007, Mii persoane, 681.9
Masculin, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 683.3
Masculin, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 680.3
Masculin, Regiunea SUD-MUNTENIA, Anul 2010, Mii persoane, 681.9
Masculin, Regiunea SUD-MUNTENIA, Anul 2011, Mii persoane, 653.6
Masculin, Regiunea SUD-MUNTENIA, Anul 2012, Mii persoane, 679.9
Masculin, Regiunea SUD-MUNTENIA, Anul 2013, Mii persoane, 680.5
Masculin, Regiunea SUD-MUNTENIA, Anul 2014, Mii persoane, 665.2
Masculin, Regiunea SUD-MUNTENIA, Anul 2015, Mii persoane, 647.9
Masculin, Regiunea SUD-MUNTENIA, Anul 2016, Mii persoane, 639.4
Masculin, Regiunea SUD-MUNTENIA, Anul 2017, Mii persoane, 638.4
Masculin, Arges, Anul 1990, Mii persoane, 172
Masculin, Arges, Anul 1991, Mii persoane, 177.4
Masculin, Arges, Anul 1992, Mii persoane, 172.1
Masculin, Arges, Anul 1993, Mii persoane, 171.9
Masculin, Arges, Anul 1994, Mii persoane, 180.3
Masculin, Arges, Anul 1995, Mii persoane, 181.3
Masculin, Arges, Anul 1996, Mii persoane, 172.9
Masculin, Arges, Anul 1997, Mii persoane, 166.4
Masculin, Arges, Anul 1998, Mii persoane, 164.5
Masculin, Arges, Anul 1999, Mii persoane, 165.2
Masculin, Arges, Anul 2000, Mii persoane, 159.4
Masculin, Arges, Anul 2001, Mii persoane, 150.6
Masculin, Arges, Anul 2002, Mii persoane, 147
Masculin, Arges, Anul 2003, Mii persoane, 146.5
Masculin, Arges, Anul 2004, Mii persoane, 144.5
Masculin, Arges, Anul 2005, Mii persoane, 142.1
Masculin, Arges, Anul 2006, Mii persoane, 138
Masculin, Arges, Anul 2007, Mii persoane, 143.1
Masculin, Arges, Anul 2008, Mii persoane, 142.2
Masculin, Arges, Anul 2009, Mii persoane, 139.4
Masculin, Arges, Anul 2010, Mii persoane, 137.4
Masculin, Arges, Anul 2011, Mii persoane, 133.4
Masculin, Arges, Anul 2012, Mii persoane, 139.7
Masculin, Arges, Anul 2013, Mii persoane, 140.8
Masculin, Arges, Anul 2014, Mii persoane, 137.2
Masculin, Arges, Anul 2015, Mii persoane, 134.9
Masculin, Arges, Anul 2016, Mii persoane, 136.4
Masculin, Arges, Anul 2017, Mii persoane, 139.3
Masculin, Calarasi, Anul 1990, Mii persoane, 84.9
Masculin, Calarasi, Anul 1991, Mii persoane, 88.2
Masculin, Calarasi, Anul 1992, Mii persoane, 87.7
Masculin, Calarasi, Anul 1993, Mii persoane, 91.2
Masculin, Calarasi, Anul 1994, Mii persoane, 78.3
Masculin, Calarasi, Anul 1995, Mii persoane, 76.4
Masculin, Calarasi, Anul 1996, Mii persoane, 70.2
Masculin, Calarasi, Anul 1997, Mii persoane, 71.9
Masculin, Calarasi, Anul 1998, Mii persoane, 72.8
Masculin, Calarasi, Anul 1999, Mii persoane, 67.1
Masculin, Calarasi, Anul 2000, Mii persoane, 68.2
Masculin, Calarasi, Anul 2001, Mii persoane, 64.1
Masculin, Calarasi, Anul 2002, Mii persoane, 58.7
Masculin, Calarasi, Anul 2003, Mii persoane, 54.7
Masculin, Calarasi, Anul 2004, Mii persoane, 55.1
Masculin, Calarasi, Anul 2005, Mii persoane, 56.9
Masculin, Calarasi, Anul 2006, Mii persoane, 54.6
Masculin, Calarasi, Anul 2007, Mii persoane, 53.9
Masculin, Calarasi, Anul 2008, Mii persoane, 53.5
Masculin, Calarasi, Anul 2009, Mii persoane, 52.8
Masculin, Calarasi, Anul 2010, Mii persoane, 56.2
Masculin, Calarasi, Anul 2011, Mii persoane, 52.5
Masculin, Calarasi, Anul 2012, Mii persoane, 54.2
Masculin, Calarasi, Anul 2013, Mii persoane, 53.6
Masculin, Calarasi, Anul 2014, Mii persoane, 52.1
Masculin, Calarasi, Anul 2015, Mii persoane, 50.7
Masculin, Calarasi, Anul 2016, Mii persoane, 49.1
Masculin, Calarasi, Anul 2017, Mii persoane, 48.4
Masculin, Dambovita, Anul 1990, Mii persoane, 137.1
Masculin, Dambovita, Anul 1991, Mii persoane, 137.3
Masculin, Dambovita, Anul 1992, Mii persoane, 134.4
Masculin, Dambovita, Anul 1993, Mii persoane, 155.2
Masculin, Dambovita, Anul 1994, Mii persoane, 140.1
Masculin, Dambovita, Anul 1995, Mii persoane, 125.2
Masculin, Dambovita, Anul 1996, Mii persoane, 126.3
Masculin, Dambovita, Anul 1997, Mii persoane, 132.2
Masculin, Dambovita, Anul 1998, Mii persoane, 127.9
Masculin, Dambovita, Anul 1999, Mii persoane, 124.9
Masculin, Dambovita, Anul 2000, Mii persoane, 123.4
Masculin, Dambovita, Anul 2001, Mii persoane, 118.6
Masculin, Dambovita, Anul 2002, Mii persoane, 118.3
Masculin, Dambovita, Anul 2003, Mii persoane, 114
Masculin, Dambovita, Anul 2004, Mii persoane, 114.6
Masculin, Dambovita, Anul 2005, Mii persoane, 115.1
Masculin, Dambovita, Anul 2006, Mii persoane, 116.2
Masculin, Dambovita, Anul 2007, Mii persoane, 118
Masculin, Dambovita, Anul 2008, Mii persoane, 118.2
Masculin, Dambovita, Anul 2009, Mii persoane, 116.2
Masculin, Dambovita, Anul 2010, Mii persoane, 118.9
Masculin, Dambovita, Anul 2011, Mii persoane, 115.2
Masculin, Dambovita, Anul 2012, Mii persoane, 120.6
Masculin, Dambovita, Anul 2013, Mii persoane, 119.3
Masculin, Dambovita, Anul 2014, Mii persoane, 114
Masculin, Dambovita, Anul 2015, Mii persoane, 112.8
Masculin, Dambovita, Anul 2016, Mii persoane, 113.7
Masculin, Dambovita, Anul 2017, Mii persoane, 111.5
Masculin, Giurgiu, Anul 1990, Mii persoane, 67.9
Masculin, Giurgiu, Anul 1991, Mii persoane, 68
Masculin, Giurgiu, Anul 1992, Mii persoane, 68.1
Masculin, Giurgiu, Anul 1993, Mii persoane, 67.2
Masculin, Giurgiu, Anul 1994, Mii persoane, 65.7
Masculin, Giurgiu, Anul 1995, Mii persoane, 61.7
Masculin, Giurgiu, Anul 1996, Mii persoane, 61.4
Masculin, Giurgiu, Anul 1997, Mii persoane, 62.7
Masculin, Giurgiu, Anul 1998, Mii persoane, 56.2
Masculin, Giurgiu, Anul 1999, Mii persoane, 58.4
Masculin, Giurgiu, Anul 2000, Mii persoane, 56.5
Masculin, Giurgiu, Anul 2001, Mii persoane, 54.7
Masculin, Giurgiu, Anul 2002, Mii persoane, 48.9
Masculin, Giurgiu, Anul 2003, Mii persoane, 49.7
Masculin, Giurgiu, Anul 2004, Mii persoane, 47.5
Masculin, Giurgiu, Anul 2005, Mii persoane, 47.3
Masculin, Giurgiu, Anul 2006, Mii persoane, 46.8
Masculin, Giurgiu, Anul 2007, Mii persoane, 46.9
Masculin, Giurgiu, Anul 2008, Mii persoane, 48.4
Masculin, Giurgiu, Anul 2009, Mii persoane, 47.5
Masculin, Giurgiu, Anul 2010, Mii persoane, 47.8
Masculin, Giurgiu, Anul 2011, Mii persoane, 47.3
Masculin, Giurgiu, Anul 2012, Mii persoane, 48.2
Masculin, Giurgiu, Anul 2013, Mii persoane, 48.7
Masculin, Giurgiu, Anul 2014, Mii persoane, 48.4
Masculin, Giurgiu, Anul 2015, Mii persoane, 45.8
Masculin, Giurgiu, Anul 2016, Mii persoane, 44.9
Masculin, Giurgiu, Anul 2017, Mii persoane, 44.6
Masculin, Ialomita, Anul 1990, Mii persoane, 72.8
Masculin, Ialomita, Anul 1991, Mii persoane, 74.1
Masculin, Ialomita, Anul 1992, Mii persoane, 77.2
Masculin, Ialomita, Anul 1993, Mii persoane, 77.8
Masculin, Ialomita, Anul 1994, Mii persoane, 75.7
Masculin, Ialomita, Anul 1995, Mii persoane, 72.6
Masculin, Ialomita, Anul 1996, Mii persoane, 70.2
Masculin, Ialomita, Anul 1997, Mii persoane, 70
Masculin, Ialomita, Anul 1998, Mii persoane, 66.8
Masculin, Ialomita, Anul 1999, Mii persoane, 63.5
Masculin, Ialomita, Anul 2000, Mii persoane, 61.7
Masculin, Ialomita, Anul 2001, Mii persoane, 61.7
Masculin, Ialomita, Anul 2002, Mii persoane, 58.9
Masculin, Ialomita, Anul 2003, Mii persoane, 56.6
Masculin, Ialomita, Anul 2004, Mii persoane, 54.1
Masculin, Ialomita, Anul 2005, Mii persoane, 56.8
Masculin, Ialomita, Anul 2006, Mii persoane, 55.3
Masculin, Ialomita, Anul 2007, Mii persoane, 56.1
Masculin, Ialomita, Anul 2008, Mii persoane, 55.7
Masculin, Ialomita, Anul 2009, Mii persoane, 56.5
Masculin, Ialomita, Anul 2010, Mii persoane, 55.1
Masculin, Ialomita, Anul 2011, Mii persoane, 52.7
Masculin, Ialomita, Anul 2012, Mii persoane, 55.2
Masculin, Ialomita, Anul 2013, Mii persoane, 55.3
Masculin, Ialomita, Anul 2014, Mii persoane, 54.8
Masculin, Ialomita, Anul 2015, Mii persoane, 53.5
Masculin, Ialomita, Anul 2016, Mii persoane, 52
Masculin, Ialomita, Anul 2017, Mii persoane, 51.5
Masculin, Prahova, Anul 1990, Mii persoane, 223.9
Masculin, Prahova, Anul 1991, Mii persoane, 213.6
Masculin, Prahova, Anul 1992, Mii persoane, 226.5
Masculin, Prahova, Anul 1993, Mii persoane, 226
Masculin, Prahova, Anul 1994, Mii persoane, 234.5
Masculin, Prahova, Anul 1995, Mii persoane, 224.8
Masculin, Prahova, Anul 1996, Mii persoane, 211.5
Masculin, Prahova, Anul 1997, Mii persoane, 205.4
Masculin, Prahova, Anul 1998, Mii persoane, 198.7
Masculin, Prahova, Anul 1999, Mii persoane, 191.8
Masculin, Prahova, Anul 2000, Mii persoane, 180
Masculin, Prahova, Anul 2001, Mii persoane, 178
Masculin, Prahova, Anul 2002, Mii persoane, 176.5
Masculin, Prahova, Anul 2003, Mii persoane, 176.7
Masculin, Prahova, Anul 2004, Mii persoane, 166.5
Masculin, Prahova, Anul 2005, Mii persoane, 172.7
Masculin, Prahova, Anul 2006, Mii persoane, 172.3
Masculin, Prahova, Anul 2007, Mii persoane, 176
Masculin, Prahova, Anul 2008, Mii persoane, 178.3
Masculin, Prahova, Anul 2009, Mii persoane, 180.3
Masculin, Prahova, Anul 2010, Mii persoane, 177.9
Masculin, Prahova, Anul 2011, Mii persoane, 168.8
Masculin, Prahova, Anul 2012, Mii persoane, 173.5
Masculin, Prahova, Anul 2013, Mii persoane, 172.2
Masculin, Prahova, Anul 2014, Mii persoane, 171.2
Masculin, Prahova, Anul 2015, Mii persoane, 166.3
Masculin, Prahova, Anul 2016, Mii persoane, 167.2
Masculin, Prahova, Anul 2017, Mii persoane, 167.1
Masculin, Teleorman, Anul 1990, Mii persoane, 115.9
Masculin, Teleorman, Anul 1991, Mii persoane, 106.6
Masculin, Teleorman, Anul 1992, Mii persoane, 119.8
Masculin, Teleorman, Anul 1993, Mii persoane, 124.8
Masculin, Teleorman, Anul 1994, Mii persoane, 122.3
Masculin, Teleorman, Anul 1995, Mii persoane, 118.7
Masculin, Teleorman, Anul 1996, Mii persoane, 114
Masculin, Teleorman, Anul 1997, Mii persoane, 111.2
Masculin, Teleorman, Anul 1998, Mii persoane, 109.3
Masculin, Teleorman, Anul 1999, Mii persoane, 111.3
Masculin, Teleorman, Anul 2000, Mii persoane, 110.6
Masculin, Teleorman, Anul 2001, Mii persoane, 105.4
Masculin, Teleorman, Anul 2002, Mii persoane, 100.6
Masculin, Teleorman, Anul 2003, Mii persoane, 97.5
Masculin, Teleorman, Anul 2004, Mii persoane, 90.6
Masculin, Teleorman, Anul 2005, Mii persoane, 89.8
Masculin, Teleorman, Anul 2006, Mii persoane, 88.4
Masculin, Teleorman, Anul 2007, Mii persoane, 87.9
Masculin, Teleorman, Anul 2008, Mii persoane, 87
Masculin, Teleorman, Anul 2009, Mii persoane, 87.6
Masculin, Teleorman, Anul 2010, Mii persoane, 88.6
Masculin, Teleorman, Anul 2011, Mii persoane, 83.7
Masculin, Teleorman, Anul 2012, Mii persoane, 88.5
Masculin, Teleorman, Anul 2013, Mii persoane, 90.6
Masculin, Teleorman, Anul 2014, Mii persoane, 87.5
Masculin, Teleorman, Anul 2015, Mii persoane, 83.9
Masculin, Teleorman, Anul 2016, Mii persoane, 76.1
Masculin, Teleorman, Anul 2017, Mii persoane, 76
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1990, Mii persoane, 616.2
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1991, Mii persoane, 646.4
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1992, Mii persoane, 667.1
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1993, Mii persoane, 629
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1994, Mii persoane, 608
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1995, Mii persoane, 543.9
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1996, Mii persoane, 494.9
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1997, Mii persoane, 499.4
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1998, Mii persoane, 478.3
Masculin, Regiunea BUCURESTI - ILFOV, Anul 1999, Mii persoane, 397.3
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2000, Mii persoane, 462.4
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2001, Mii persoane, 464.6
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2002, Mii persoane, 499.2
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2003, Mii persoane, 537.6
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2004, Mii persoane, 551
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2005, Mii persoane, 603.8
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2006, Mii persoane, 622.1
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2007, Mii persoane, 641.4
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii persoane, 683.4
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2009, Mii persoane, 652
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2010, Mii persoane, 626.1
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2011, Mii persoane, 634.2
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2012, Mii persoane, 645.2
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2013, Mii persoane, 646.5
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2014, Mii persoane, 653.6
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2015, Mii persoane, 668.9
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2016, Mii persoane, 716
Masculin, Regiunea BUCURESTI - ILFOV, Anul 2017, Mii persoane, 717.2
Masculin, Ilfov, Anul 1996, Mii persoane, 60.7
Masculin, Ilfov, Anul 1997, Mii persoane, 58.7
Masculin, Ilfov, Anul 1998, Mii persoane, 54.1
Masculin, Ilfov, Anul 1999, Mii persoane, 55.7
Masculin, Ilfov, Anul 2000, Mii persoane, 58.8
Masculin, Ilfov, Anul 2001, Mii persoane, 60
Masculin, Ilfov, Anul 2002, Mii persoane, 59.7
Masculin, Ilfov, Anul 2003, Mii persoane, 59
Masculin, Ilfov, Anul 2004, Mii persoane, 62.6
Masculin, Ilfov, Anul 2005, Mii persoane, 71
Masculin, Ilfov, Anul 2006, Mii persoane, 75.8
Masculin, Ilfov, Anul 2007, Mii persoane, 83.5
Masculin, Ilfov, Anul 2008, Mii persoane, 90.9
Masculin, Ilfov, Anul 2009, Mii persoane, 85.7
Masculin, Ilfov, Anul 2010, Mii persoane, 86.8
Masculin, Ilfov, Anul 2011, Mii persoane, 91.5
Masculin, Ilfov, Anul 2012, Mii persoane, 94.3
Masculin, Ilfov, Anul 2013, Mii persoane, 93.3
Masculin, Ilfov, Anul 2014, Mii persoane, 97.6
Masculin, Ilfov, Anul 2015, Mii persoane, 99.3
Masculin, Ilfov, Anul 2016, Mii persoane, 106.6
Masculin, Ilfov, Anul 2017, Mii persoane, 109.9
Masculin, Municipiul Bucuresti, Anul 1996, Mii persoane, 434.2
Masculin, Municipiul Bucuresti, Anul 1997, Mii persoane, 440.7
Masculin, Municipiul Bucuresti, Anul 1998, Mii persoane, 424.2
Masculin, Municipiul Bucuresti, Anul 1999, Mii persoane, 341.6
Masculin, Municipiul Bucuresti, Anul 2000, Mii persoane, 403.6
Masculin, Municipiul Bucuresti, Anul 2001, Mii persoane, 404.6
Masculin, Municipiul Bucuresti, Anul 2002, Mii persoane, 439.5
Masculin, Municipiul Bucuresti, Anul 2003, Mii persoane, 478.6
Masculin, Municipiul Bucuresti, Anul 2004, Mii persoane, 488.4
Masculin, Municipiul Bucuresti, Anul 2005, Mii persoane, 532.8
Masculin, Municipiul Bucuresti, Anul 2006, Mii persoane, 546.3
Masculin, Municipiul Bucuresti, Anul 2007, Mii persoane, 557.9
Masculin, Municipiul Bucuresti, Anul 2008, Mii persoane, 592.5
Masculin, Municipiul Bucuresti, Anul 2009, Mii persoane, 566.3
Masculin, Municipiul Bucuresti, Anul 2010, Mii persoane, 539.3
Masculin, Municipiul Bucuresti, Anul 2011, Mii persoane, 542.7
Masculin, Municipiul Bucuresti, Anul 2012, Mii persoane, 550.9
Masculin, Municipiul Bucuresti, Anul 2013, Mii persoane, 553.2
Masculin, Municipiul Bucuresti, Anul 2014, Mii persoane, 556
Masculin, Municipiul Bucuresti, Anul 2015, Mii persoane, 569.6
Masculin, Municipiul Bucuresti, Anul 2016, Mii persoane, 609.4
Masculin, Municipiul Bucuresti, Anul 2017, Mii persoane, 607.3
Masculin, Mun. Bucuresti -incl. SAI, Anul 1990, Mii persoane, 616.2
Masculin, Mun. Bucuresti -incl. SAI, Anul 1991, Mii persoane, 646.4
Masculin, Mun. Bucuresti -incl. SAI, Anul 1992, Mii persoane, 667.1
Masculin, Mun. Bucuresti -incl. SAI, Anul 1993, Mii persoane, 629
Masculin, Mun. Bucuresti -incl. SAI, Anul 1994, Mii persoane, 608
Masculin, Mun. Bucuresti -incl. SAI, Anul 1995, Mii persoane, 543.9
Masculin, MACROREGIUNEA PATRU, Anul 1990, Mii persoane, 1204.6
Masculin, MACROREGIUNEA PATRU, Anul 1991, Mii persoane, 1177.8
Masculin, MACROREGIUNEA PATRU, Anul 1992, Mii persoane, 1176.3
Masculin, MACROREGIUNEA PATRU, Anul 1993, Mii persoane, 1157.8
Masculin, MACROREGIUNEA PATRU, Anul 1994, Mii persoane, 1202.9
Masculin, MACROREGIUNEA PATRU, Anul 1995, Mii persoane, 1170.5
