
Gruparea dupa ocupatie a numarului de salariati din cercetare-dezvoltare, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Dolj, Anul 2003, Numar persoane, 2229
Total, Dolj, Anul 2004, Numar persoane, 2073
Total, Dolj, Anul 2005, Numar persoane, 2037
Total, Dolj, Anul 2006, Numar persoane, 1988
Total, Dolj, Anul 2007, Numar persoane, 1979
Total, Dolj, Anul 2008, Numar persoane, 1845
Total, Dolj, Anul 2009, Numar persoane, 1861
Total, Dolj, Anul 2010, Numar persoane, 1934
Total, Dolj, Anul 2011, Numar persoane, 1889
Total, Dolj, Anul 2012, Numar persoane, 1975
Total, Dolj, Anul 2013, Numar persoane, 1764
Total, Dolj, Anul 2014, Numar persoane, 1653
Total, Dolj, Anul 2015, Numar persoane, 1757
Total, Dolj, Anul 2016, Numar persoane, 1689
Total, Gorj, Anul 1995, Numar persoane, 33
Total, Gorj, Anul 1996, Numar persoane, 43
Total, Gorj, Anul 1997, Numar persoane, 241
Total, Gorj, Anul 1998, Numar persoane, 111
Total, Gorj, Anul 1999, Numar persoane, 138
Total, Gorj, Anul 2000, Numar persoane, 150
Total, Gorj, Anul 2001, Numar persoane, 146
Total, Gorj, Anul 2002, Numar persoane, 126
Total, Gorj, Anul 2003, Numar persoane, 221
Total, Gorj, Anul 2004, Numar persoane, 290
Total, Gorj, Anul 2005, Numar persoane, 236
Total, Gorj, Anul 2006, Numar persoane, 222
Total, Gorj, Anul 2007, Numar persoane, 226
Total, Gorj, Anul 2008, Numar persoane, 237
Total, Gorj, Anul 2009, Numar persoane, 206
Total, Gorj, Anul 2010, Numar persoane, 166
Total, Gorj, Anul 2011, Numar persoane, 161
Total, Gorj, Anul 2012, Numar persoane, 69
Total, Gorj, Anul 2013, Numar persoane, 85
Total, Gorj, Anul 2014, Numar persoane, 82
Total, Gorj, Anul 2015, Numar persoane, 75
Total, Gorj, Anul 2016, Numar persoane, 74
Total, Mehedinti, Anul 1995, Numar persoane, 8
Total, Mehedinti, Anul 1996, Numar persoane, 9
Total, Mehedinti, Anul 1997, Numar persoane, 116
Total, Mehedinti, Anul 1998, Numar persoane, 103
Total, Mehedinti, Anul 1999, Numar persoane, 159
Total, Mehedinti, Anul 2000, Numar persoane, 78
Total, Mehedinti, Anul 2001, Numar persoane, 127
Total, Mehedinti, Anul 2002, Numar persoane, 80
Total, Mehedinti, Anul 2003, Numar persoane, 76
Total, Mehedinti, Anul 2004, Numar persoane, 69
Total, Mehedinti, Anul 2005, Numar persoane, 63
Total, Mehedinti, Anul 2006, Numar persoane, 66
Total, Mehedinti, Anul 2007, Numar persoane, 60
Total, Mehedinti, Anul 2008, Numar persoane, 2
Total, Mehedinti, Anul 2009, Numar persoane, 2
Total, Olt, Anul 1995, Numar persoane, 112
Total, Olt, Anul 1996, Numar persoane, 85
Total, Olt, Anul 1997, Numar persoane, 183
Total, Olt, Anul 1998, Numar persoane, 75
Total, Olt, Anul 1999, Numar persoane, 59
Total, Olt, Anul 2000, Numar persoane, 59
Total, Olt, Anul 2001, Numar persoane, 62
Total, Olt, Anul 2002, Numar persoane, 105
Total, Olt, Anul 2003, Numar persoane, 101
Total, Olt, Anul 2004, Numar persoane, 182
Total, Olt, Anul 2005, Numar persoane, 43
Total, Olt, Anul 2006, Numar persoane, 13
Total, Olt, Anul 2007, Numar persoane, 19
Total, Olt, Anul 2008, Numar persoane, 18
Total, Olt, Anul 2009, Numar persoane, 13
Total, Olt, Anul 2010, Numar persoane, 16
Total, Olt, Anul 2011, Numar persoane, 19
Total, Olt, Anul 2012, Numar persoane, 26
Total, Olt, Anul 2013, Numar persoane, 1
Total, Olt, Anul 2014, Numar persoane, 2
Total, Olt, Anul 2015, Numar persoane, 15
Total, Olt, Anul 2016, Numar persoane, 7
Total, Valcea, Anul 1995, Numar persoane, 381
Total, Valcea, Anul 1996, Numar persoane, 465
Total, Valcea, Anul 1997, Numar persoane, 450
Total, Valcea, Anul 1998, Numar persoane, 392
Total, Valcea, Anul 1999, Numar persoane, 300
Total, Valcea, Anul 2000, Numar persoane, 207
Total, Valcea, Anul 2001, Numar persoane, 206
Total, Valcea, Anul 2002, Numar persoane, 209
Total, Valcea, Anul 2003, Numar persoane, 214
Total, Valcea, Anul 2004, Numar persoane, 185
Total, Valcea, Anul 2005, Numar persoane, 190
Total, Valcea, Anul 2006, Numar persoane, 202
Total, Valcea, Anul 2007, Numar persoane, 222
Total, Valcea, Anul 2008, Numar persoane, 219
Total, Valcea, Anul 2009, Numar persoane, 208
Total, Valcea, Anul 2010, Numar persoane, 199
Total, Valcea, Anul 2011, Numar persoane, 213
Total, Valcea, Anul 2012, Numar persoane, 6
Total, Valcea, Anul 2013, Numar persoane, 208
Total, Valcea, Anul 2014, Numar persoane, 223
Total, Valcea, Anul 2015, Numar persoane, 254
Total, Valcea, Anul 2016, Numar persoane, 255
Total, Regiunea VEST, Anul 1995, Numar persoane, 2683
Total, Regiunea VEST, Anul 1996, Numar persoane, 2462
Total, Regiunea VEST, Anul 1997, Numar persoane, 3350
Total, Regiunea VEST, Anul 1998, Numar persoane, 2971
Total, Regiunea VEST, Anul 1999, Numar persoane, 2131
Total, Regiunea VEST, Anul 2000, Numar persoane, 1807
Total, Regiunea VEST, Anul 2001, Numar persoane, 1674
Total, Regiunea VEST, Anul 2002, Numar persoane, 1925
Total, Regiunea VEST, Anul 2003, Numar persoane, 3268
Total, Regiunea VEST, Anul 2004, Numar persoane, 3315
Total, Regiunea VEST, Anul 2005, Numar persoane, 1855
Total, Regiunea VEST, Anul 2006, Numar persoane, 1587
Total, Regiunea VEST, Anul 2007, Numar persoane, 2321
Total, Regiunea VEST, Anul 2008, Numar persoane, 2186
Total, Regiunea VEST, Anul 2009, Numar persoane, 3051
Total, Regiunea VEST, Anul 2010, Numar persoane, 4055
Total, Regiunea VEST, Anul 2011, Numar persoane, 3183
Total, Regiunea VEST, Anul 2012, Numar persoane, 3453
Total, Regiunea VEST, Anul 2013, Numar persoane, 3863
Total, Regiunea VEST, Anul 2014, Numar persoane, 3620
Total, Regiunea VEST, Anul 2015, Numar persoane, 4031
Total, Regiunea VEST, Anul 2016, Numar persoane, 4031
Total, Arad, Anul 1995, Numar persoane, 380
Total, Arad, Anul 1996, Numar persoane, 379
Total, Arad, Anul 1997, Numar persoane, 995
Total, Arad, Anul 1998, Numar persoane, 609
Total, Arad, Anul 1999, Numar persoane, 333
Total, Arad, Anul 2000, Numar persoane, 136
Total, Arad, Anul 2001, Numar persoane, 137
Total, Arad, Anul 2002, Numar persoane, 38
Total, Arad, Anul 2003, Numar persoane, 379
Total, Arad, Anul 2004, Numar persoane, 353
Total, Arad, Anul 2005, Numar persoane, 80
Total, Arad, Anul 2006, Numar persoane, 36
Total, Arad, Anul 2007, Numar persoane, 691
Total, Arad, Anul 2008, Numar persoane, 661
Total, Arad, Anul 2009, Numar persoane, 799
Total, Arad, Anul 2010, Numar persoane, 734
Total, Arad, Anul 2011, Numar persoane, 719
Total, Arad, Anul 2012, Numar persoane, 560
Total, Arad, Anul 2013, Numar persoane, 753
Total, Arad, Anul 2014, Numar persoane, 803
Total, Arad, Anul 2015, Numar persoane, 830
Total, Arad, Anul 2016, Numar persoane, 850
Total, Caras-Severin, Anul 1995, Numar persoane, 257
Total, Caras-Severin, Anul 1996, Numar persoane, 98
Total, Caras-Severin, Anul 1997, Numar persoane, 276
Total, Caras-Severin, Anul 1998, Numar persoane, 258
Total, Caras-Severin, Anul 1999, Numar persoane, 212
Total, Caras-Severin, Anul 2000, Numar persoane, 228
Total, Caras-Severin, Anul 2001, Numar persoane, 229
Total, Caras-Severin, Anul 2002, Numar persoane, 225
Total, Caras-Severin, Anul 2003, Numar persoane, 291
Total, Caras-Severin, Anul 2004, Numar persoane, 303
Total, Caras-Severin, Anul 2005, Numar persoane, 288
Total, Caras-Severin, Anul 2006, Numar persoane, 147
Total, Caras-Severin, Anul 2007, Numar persoane, 129
Total, Caras-Severin, Anul 2008, Numar persoane, 148
Total, Caras-Severin, Anul 2009, Numar persoane, 144
Total, Caras-Severin, Anul 2010, Numar persoane, 126
Total, Caras-Severin, Anul 2011, Numar persoane, 127
Total, Caras-Severin, Anul 2012, Numar persoane, 115
Total, Caras-Severin, Anul 2013, Numar persoane, 121
Total, Caras-Severin, Anul 2014, Numar persoane, 119
Total, Caras-Severin, Anul 2015, Numar persoane, 109
Total, Caras-Severin, Anul 2016, Numar persoane, 99
Total, Hunedoara, Anul 1995, Numar persoane, 711
Total, Hunedoara, Anul 1996, Numar persoane, 710
Total, Hunedoara, Anul 1997, Numar persoane, 693
Total, Hunedoara, Anul 1998, Numar persoane, 455
Total, Hunedoara, Anul 1999, Numar persoane, 457
Total, Hunedoara, Anul 2000, Numar persoane, 499
Total, Hunedoara, Anul 2001, Numar persoane, 503
Total, Hunedoara, Anul 2002, Numar persoane, 478
Total, Hunedoara, Anul 2003, Numar persoane, 542
Total, Hunedoara, Anul 2004, Numar persoane, 560
Total, Hunedoara, Anul 2005, Numar persoane, 545
Total, Hunedoara, Anul 2006, Numar persoane, 521
Total, Hunedoara, Anul 2007, Numar persoane, 494
Total, Hunedoara, Anul 2008, Numar persoane, 462
Total, Hunedoara, Anul 2009, Numar persoane, 419
Total, Hunedoara, Anul 2010, Numar persoane, 390
Total, Hunedoara, Anul 2011, Numar persoane, 565
Total, Hunedoara, Anul 2012, Numar persoane, 501
Total, Hunedoara, Anul 2013, Numar persoane, 586
Total, Hunedoara, Anul 2014, Numar persoane, 339
Total, Hunedoara, Anul 2015, Numar persoane, 344
Total, Hunedoara, Anul 2016, Numar persoane, 386
Total, Timis, Anul 1995, Numar persoane, 1335
Total, Timis, Anul 1996, Numar persoane, 1275
Total, Timis, Anul 1997, Numar persoane, 1386
Total, Timis, Anul 1998, Numar persoane, 1649
Total, Timis, Anul 1999, Numar persoane, 1129
Total, Timis, Anul 2000, Numar persoane, 944
Total, Timis, Anul 2001, Numar persoane, 805
Total, Timis, Anul 2002, Numar persoane, 1184
Total, Timis, Anul 2003, Numar persoane, 2056
Total, Timis, Anul 2004, Numar persoane, 2099
Total, Timis, Anul 2005, Numar persoane, 942
Total, Timis, Anul 2006, Numar persoane, 883
Total, Timis, Anul 2007, Numar persoane, 1007
Total, Timis, Anul 2008, Numar persoane, 915
Total, Timis, Anul 2009, Numar persoane, 1689
Total, Timis, Anul 2010, Numar persoane, 2805
Total, Timis, Anul 2011, Numar persoane, 1772
Total, Timis, Anul 2012, Numar persoane, 2277
Total, Timis, Anul 2013, Numar persoane, 2403
Total, Timis, Anul 2014, Numar persoane, 2359
Total, Timis, Anul 2015, Numar persoane, 2748
Total, Timis, Anul 2016, Numar persoane, 2696
