
Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Total, Teleorman, Anul 2016, Procente, 10.8
Total, Teleorman, Anul 2017, Procente, 10.1
Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Procente, 1.4
Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Procente, 4.8
Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Procente, 6
Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Procente, 5.7
Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Procente, 5.1
Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Procente, 3.4
Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Procente, 5.4
Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Procente, 4.9
Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Procente, 6.9
Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Procente, 5.8
Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Procente, 4.7
Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Procente, 3.3
Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Procente, 2.8
Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Procente, 2.8
Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Procente, 2.4
Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Procente, 2.2
Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Procente, 1.7
Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Procente, 1.6
Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Procente, 2.4
Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Procente, 2.4
Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Procente, 2
Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Procente, 2
Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Procente, 2
Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Procente, 1.9
Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Procente, 1.8
Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Procente, 1.5
Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Procente, 1.4
Total, Ilfov, Anul 1997, Procente, 4.5
Total, Ilfov, Anul 1998, Procente, 4.6
Total, Ilfov, Anul 1999, Procente, 5.8
Total, Ilfov, Anul 2000, Procente, 6.2
Total, Ilfov, Anul 2001, Procente, 5.8
Total, Ilfov, Anul 2002, Procente, 5.4
Total, Ilfov, Anul 2003, Procente, 5.1
Total, Ilfov, Anul 2004, Procente, 4.1
Total, Ilfov, Anul 2005, Procente, 2
Total, Ilfov, Anul 2006, Procente, 1.9
Total, Ilfov, Anul 2007, Procente, 1.4
Total, Ilfov, Anul 2008, Procente, 1.3
Total, Ilfov, Anul 2009, Procente, 2.4
Total, Ilfov, Anul 2010, Procente, 2.7
Total, Ilfov, Anul 2011, Procente, 1.6
Total, Ilfov, Anul 2012, Procente, 1.8
Total, Ilfov, Anul 2013, Procente, 1.9
Total, Ilfov, Anul 2014, Procente, 1.5
Total, Ilfov, Anul 2015, Procente, 1.2
Total, Ilfov, Anul 2016, Procente, 1
Total, Ilfov, Anul 2017, Procente, .6
Total, Municipiul Bucuresti, Anul 1997, Procente, 5.6
Total, Municipiul Bucuresti, Anul 1998, Procente, 5
Total, Municipiul Bucuresti, Anul 1999, Procente, 7.1
Total, Municipiul Bucuresti, Anul 2000, Procente, 5.7
Total, Municipiul Bucuresti, Anul 2001, Procente, 4.5
Total, Municipiul Bucuresti, Anul 2002, Procente, 3
Total, Municipiul Bucuresti, Anul 2003, Procente, 2.5
Total, Municipiul Bucuresti, Anul 2004, Procente, 2.6
Total, Municipiul Bucuresti, Anul 2005, Procente, 2.4
Total, Municipiul Bucuresti, Anul 2006, Procente, 2.2
Total, Municipiul Bucuresti, Anul 2007, Procente, 1.7
Total, Municipiul Bucuresti, Anul 2008, Procente, 1.6
Total, Municipiul Bucuresti, Anul 2009, Procente, 2.4
Total, Municipiul Bucuresti, Anul 2010, Procente, 2.3
Total, Municipiul Bucuresti, Anul 2011, Procente, 2
Total, Municipiul Bucuresti, Anul 2012, Procente, 2
Total, Municipiul Bucuresti, Anul 2013, Procente, 2
Total, Municipiul Bucuresti, Anul 2014, Procente, 2
Total, Municipiul Bucuresti, Anul 2015, Procente, 1.9
Total, Municipiul Bucuresti, Anul 2016, Procente, 1.6
Total, Municipiul Bucuresti, Anul 2017, Procente, 1.5
Total, Mun. Bucuresti -incl. SAI, Anul 1991, Procente, 1.4
Total, Mun. Bucuresti -incl. SAI, Anul 1992, Procente, 4.8
Total, Mun. Bucuresti -incl. SAI, Anul 1993, Procente, 6
Total, Mun. Bucuresti -incl. SAI, Anul 1994, Procente, 5.7
Total, Mun. Bucuresti -incl. SAI, Anul 1995, Procente, 5.1
Total, Mun. Bucuresti -incl. SAI, Anul 1996, Procente, 3.4
Total, MACROREGIUNEA PATRU, Anul 1991, Procente, 3
Total, MACROREGIUNEA PATRU, Anul 1992, Procente, 7.5
Total, MACROREGIUNEA PATRU, Anul 1993, Procente, 10.1
Total, MACROREGIUNEA PATRU, Anul 1994, Procente, 10.2
Total, MACROREGIUNEA PATRU, Anul 1995, Procente, 8.8
Total, MACROREGIUNEA PATRU, Anul 1996, Procente, 6.2
Total, MACROREGIUNEA PATRU, Anul 1997, Procente, 8.8
Total, MACROREGIUNEA PATRU, Anul 1998, Procente, 10.8
Total, MACROREGIUNEA PATRU, Anul 1999, Procente, 12.1
Total, MACROREGIUNEA PATRU, Anul 2000, Procente, 11.1
Total, MACROREGIUNEA PATRU, Anul 2001, Procente, 10
Total, MACROREGIUNEA PATRU, Anul 2002, Procente, 8.1
Total, MACROREGIUNEA PATRU, Anul 2003, Procente, 8.1
Total, MACROREGIUNEA PATRU, Anul 2004, Procente, 6.7
Total, MACROREGIUNEA PATRU, Anul 2005, Procente, 6.3
Total, MACROREGIUNEA PATRU, Anul 2006, Procente, 5.6
Total, MACROREGIUNEA PATRU, Anul 2007, Procente, 4.2
Total, MACROREGIUNEA PATRU, Anul 2008, Procente, 5.4
Total, MACROREGIUNEA PATRU, Anul 2009, Procente, 8.9
Total, MACROREGIUNEA PATRU, Anul 2010, Procente, 7.6
Total, MACROREGIUNEA PATRU, Anul 2011, Procente, 5.8
Total, MACROREGIUNEA PATRU, Anul 2012, Procente, 6.1
Total, MACROREGIUNEA PATRU, Anul 2013, Procente, 6.4
Total, MACROREGIUNEA PATRU, Anul 2014, Procente, 5.8
Total, MACROREGIUNEA PATRU, Anul 2015, Procente, 5.6
Total, MACROREGIUNEA PATRU, Anul 2016, Procente, 5.4
Total, MACROREGIUNEA PATRU, Anul 2017, Procente, 4.7
Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Procente, 3.4
Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Procente, 8
Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Procente, 11.2
Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Procente, 11
Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Procente, 9.9
Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Procente, 6.5
Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Procente, 9.1
Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Procente, 10.9
Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Procente, 11.7
Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Procente, 11.6
Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Procente, 10.4
Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Procente, 9.4
Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Procente, 9.1
Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Procente, 7.5
Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Procente, 7.4
Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Procente, 7
Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Procente, 5.1
Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Procente, 6.9
Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Procente, 10.4
Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Procente, 9.2
Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Procente, 7.7
Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Procente, 8.2
Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Procente, 8.7
Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Procente, 8.2
Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Procente, 8.2
Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Procente, 8.3
Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Procente, 7.3
Total, Dolj, Anul 1991, Procente, 4.5
Total, Dolj, Anul 1992, Procente, 10.8
Total, Dolj, Anul 1993, Procente, 14.6
Total, Dolj, Anul 1994, Procente, 14.3
Total, Dolj, Anul 1995, Procente, 12.6
Total, Dolj, Anul 1996, Procente, 7.4
Total, Dolj, Anul 1997, Procente, 7.1
Total, Dolj, Anul 1998, Procente, 8.7
Total, Dolj, Anul 1999, Procente, 11.7
Total, Dolj, Anul 2000, Procente, 12.3
Total, Dolj, Anul 2001, Procente, 11.2
Total, Dolj, Anul 2002, Procente, 7.1
Total, Dolj, Anul 2003, Procente, 8
Total, Dolj, Anul 2004, Procente, 5.8
Total, Dolj, Anul 2005, Procente, 6.3
Total, Dolj, Anul 2006, Procente, 6.8
Total, Dolj, Anul 2007, Procente, 4.9
Total, Dolj, Anul 2008, Procente, 8.1
Total, Dolj, Anul 2009, Procente, 11.3
Total, Dolj, Anul 2010, Procente, 9.8
Total, Dolj, Anul 2011, Procente, 8.9
Total, Dolj, Anul 2012, Procente, 9.4
Total, Dolj, Anul 2013, Procente, 9.7
Total, Dolj, Anul 2014, Procente, 9.4
Total, Dolj, Anul 2015, Procente, 9.5
Total, Dolj, Anul 2016, Procente, 9.8
Total, Dolj, Anul 2017, Procente, 8.8
Total, Gorj, Anul 1991, Procente, 1.2
Total, Gorj, Anul 1992, Procente, 2.8
Total, Gorj, Anul 1993, Procente, 4.2
Total, Gorj, Anul 1994, Procente, 3.9
Total, Gorj, Anul 1995, Procente, 3.9
Total, Gorj, Anul 1996, Procente, 2.3
Total, Gorj, Anul 1997, Procente, 9.7
Total, Gorj, Anul 1998, Procente, 13
Total, Gorj, Anul 1999, Procente, 14.3
Total, Gorj, Anul 2000, Procente, 12.8
Total, Gorj, Anul 2001, Procente, 10.3
Total, Gorj, Anul 2002, Procente, 10.8
Total, Gorj, Anul 2003, Procente, 9.1
Total, Gorj, Anul 2004, Procente, 8
Total, Gorj, Anul 2005, Procente, 9.3
Total, Gorj, Anul 2006, Procente, 8.8
Total, Gorj, Anul 2007, Procente, 5.6
Total, Gorj, Anul 2008, Procente, 7.3
Total, Gorj, Anul 2009, Procente, 10.7
Total, Gorj, Anul 2010, Procente, 10.1
Total, Gorj, Anul 2011, Procente, 7.8
Total, Gorj, Anul 2012, Procente, 7.7
Total, Gorj, Anul 2013, Procente, 8.2
Total, Gorj, Anul 2014, Procente, 7.5
Total, Gorj, Anul 2015, Procente, 7.7
Total, Gorj, Anul 2016, Procente, 7.4
Total, Gorj, Anul 2017, Procente, 6.3
Total, Mehedinti, Anul 1991, Procente, 3.7
Total, Mehedinti, Anul 1992, Procente, 7
Total, Mehedinti, Anul 1993, Procente, 10.1
Total, Mehedinti, Anul 1994, Procente, 7.7
Total, Mehedinti, Anul 1995, Procente, 6.2
Total, Mehedinti, Anul 1996, Procente, 4.5
Total, Mehedinti, Anul 1997, Procente, 7.8
Total, Mehedinti, Anul 1998, Procente, 9.4
Total, Mehedinti, Anul 1999, Procente, 9.5
Total, Mehedinti, Anul 2000, Procente, 10.3
Total, Mehedinti, Anul 2001, Procente, 8.8
Total, Mehedinti, Anul 2002, Procente, 8.8
Total, Mehedinti, Anul 2003, Procente, 8.8
Total, Mehedinti, Anul 2004, Procente, 10.2
Total, Mehedinti, Anul 2005, Procente, 9.5
Total, Mehedinti, Anul 2006, Procente, 9.2
Total, Mehedinti, Anul 2007, Procente, 8.1
Total, Mehedinti, Anul 2008, Procente, 9.3
Total, Mehedinti, Anul 2009, Procente, 13.9
Total, Mehedinti, Anul 2010, Procente, 10.5
Total, Mehedinti, Anul 2011, Procente, 9.7
Total, Mehedinti, Anul 2012, Procente, 9.5
Total, Mehedinti, Anul 2013, Procente, 10.5
Total, Mehedinti, Anul 2014, Procente, 10
Total, Mehedinti, Anul 2015, Procente, 11
Total, Mehedinti, Anul 2016, Procente, 9.6
Total, Mehedinti, Anul 2017, Procente, 9.4
Total, Olt, Anul 1991, Procente, 3.5
Total, Olt, Anul 1992, Procente, 8.8
Total, Olt, Anul 1993, Procente, 11.7
Total, Olt, Anul 1994, Procente, 12
Total, Olt, Anul 1995, Procente, 8.5
Total, Olt, Anul 1996, Procente, 4.4
Total, Olt, Anul 1997, Procente, 8.2
Total, Olt, Anul 1998, Procente, 9.8
Total, Olt, Anul 1999, Procente, 10.8
Total, Olt, Anul 2000, Procente, 9.5
Total, Olt, Anul 2001, Procente, 7.4
Total, Olt, Anul 2002, Procente, 9.9
Total, Olt, Anul 2003, Procente, 10.6
Total, Olt, Anul 2004, Procente, 7.7
Total, Olt, Anul 2005, Procente, 7.1
Total, Olt, Anul 2006, Procente, 6.5
Total, Olt, Anul 2007, Procente, 4.8
Total, Olt, Anul 2008, Procente, 5.3
Total, Olt, Anul 2009, Procente, 8.9
Total, Olt, Anul 2010, Procente, 8.2
Total, Olt, Anul 2011, Procente, 6.9
Total, Olt, Anul 2012, Procente, 7.7
Total, Olt, Anul 2013, Procente, 8.2
Total, Olt, Anul 2014, Procente, 8.2
Total, Olt, Anul 2015, Procente, 8.1
Total, Olt, Anul 2016, Procente, 9.2
Total, Olt, Anul 2017, Procente, 7.4
Total, Valcea, Anul 1991, Procente, 3.5
Total, Valcea, Anul 1992, Procente, 8.1
Total, Valcea, Anul 1993, Procente, 11.7
Total, Valcea, Anul 1994, Procente, 13.2
Total, Valcea, Anul 1995, Procente, 15.2
Total, Valcea, Anul 1996, Procente, 12.5
Total, Valcea, Anul 1997, Procente, 13.3
Total, Valcea, Anul 1998, Procente, 14.6
Total, Valcea, Anul 1999, Procente, 12.1
Total, Valcea, Anul 2000, Procente, 12.5
Total, Valcea, Anul 2001, Procente, 13.5
Total, Valcea, Anul 2002, Procente, 11.7
Total, Valcea, Anul 2003, Procente, 9.2
Total, Valcea, Anul 2004, Procente, 7.6
Total, Valcea, Anul 2005, Procente, 6.6
Total, Valcea, Anul 2006, Procente, 4.8
Total, Valcea, Anul 2007, Procente, 3.4
Total, Valcea, Anul 2008, Procente, 4.7
Total, Valcea, Anul 2009, Procente, 7.9
Total, Valcea, Anul 2010, Procente, 7.7
Total, Valcea, Anul 2011, Procente, 5.2
Total, Valcea, Anul 2012, Procente, 6.1
Total, Valcea, Anul 2013, Procente, 6.8
Total, Valcea, Anul 2014, Procente, 5.6
Total, Valcea, Anul 2015, Procente, 4.7
Total, Valcea, Anul 2016, Procente, 5
Total, Valcea, Anul 2017, Procente, 4.2
Total, Regiunea VEST, Anul 1991, Procente, 2.5
Total, Regiunea VEST, Anul 1992, Procente, 6.8
Total, Regiunea VEST, Anul 1993, Procente, 8.8
Total, Regiunea VEST, Anul 1994, Procente, 9.2
Total, Regiunea VEST, Anul 1995, Procente, 7.5
Total, Regiunea VEST, Anul 1996, Procente, 5.9
Total, Regiunea VEST, Anul 1997, Procente, 8.3
Total, Regiunea VEST, Anul 1998, Procente, 10.6
Total, Regiunea VEST, Anul 1999, Procente, 12.6
Total, Regiunea VEST, Anul 2000, Procente, 10.4
Total, Regiunea VEST, Anul 2001, Procente, 9.5
Total, Regiunea VEST, Anul 2002, Procente, 6.6
Total, Regiunea VEST, Anul 2003, Procente, 7
Total, Regiunea VEST, Anul 2004, Procente, 5.8
Total, Regiunea VEST, Anul 2005, Procente, 5.1
Total, Regiunea VEST, Anul 2006, Procente, 4.1
Total, Regiunea VEST, Anul 2007, Procente, 3.3
Total, Regiunea VEST, Anul 2008, Procente, 3.8
Total, Regiunea VEST, Anul 2009, Procente, 7.4
Total, Regiunea VEST, Anul 2010, Procente, 5.9
Total, Regiunea VEST, Anul 2011, Procente, 3.7
Total, Regiunea VEST, Anul 2012, Procente, 3.9
Total, Regiunea VEST, Anul 2013, Procente, 4
Total, Regiunea VEST, Anul 2014, Procente, 3.4
Total, Regiunea VEST, Anul 2015, Procente, 3
Total, Regiunea VEST, Anul 2016, Procente, 2.6
Total, Regiunea VEST, Anul 2017, Procente, 2.2
Total, Arad, Anul 1991, Procente, 1.4
Total, Arad, Anul 1992, Procente, 6
Total, Arad, Anul 1993, Procente, 9.1
Total, Arad, Anul 1994, Procente, 10.1
Total, Arad, Anul 1995, Procente, 5.1
Total, Arad, Anul 1996, Procente, 2.7
Total, Arad, Anul 1997, Procente, 4.9
Total, Arad, Anul 1998, Procente, 8.5
Total, Arad, Anul 1999, Procente, 9.4
Total, Arad, Anul 2000, Procente, 8.4
Total, Arad, Anul 2001, Procente, 6.1
Total, Arad, Anul 2002, Procente, 5
Total, Arad, Anul 2003, Procente, 4.7
Total, Arad, Anul 2004, Procente, 3.6
Total, Arad, Anul 2005, Procente, 3.6
Total, Arad, Anul 2006, Procente, 3.3
Total, Arad, Anul 2007, Procente, 2.3
Total, Arad, Anul 2008, Procente, 3.1
Total, Arad, Anul 2009, Procente, 6.8
Total, Arad, Anul 2010, Procente, 5.2
Total, Arad, Anul 2011, Procente, 3.5
Total, Arad, Anul 2012, Procente, 3.6
Total, Arad, Anul 2013, Procente, 3.2
Total, Arad, Anul 2014, Procente, 2.8
Total, Arad, Anul 2015, Procente, 2.4
Total, Arad, Anul 2016, Procente, 2.3
Total, Arad, Anul 2017, Procente, 1.5
Total, Caras-Severin, Anul 1991, Procente, 3.8
Total, Caras-Severin, Anul 1992, Procente, 11.4
Total, Caras-Severin, Anul 1993, Procente, 12.8
Total, Caras-Severin, Anul 1994, Procente, 10.4
Total, Caras-Severin, Anul 1995, Procente, 9.9
Total, Caras-Severin, Anul 1996, Procente, 7.8
Total, Caras-Severin, Anul 1997, Procente, 10.9
Total, Caras-Severin, Anul 1998, Procente, 10.2
Total, Caras-Severin, Anul 1999, Procente, 11.4
Total, Caras-Severin, Anul 2000, Procente, 9.7
Total, Caras-Severin, Anul 2001, Procente, 11.6
Total, Caras-Severin, Anul 2002, Procente, 9.8
Total, Caras-Severin, Anul 2003, Procente, 9.8
Total, Caras-Severin, Anul 2004, Procente, 9
Total, Caras-Severin, Anul 2005, Procente, 7.9
Total, Caras-Severin, Anul 2006, Procente, 6.4
Total, Caras-Severin, Anul 2007, Procente, 6.8
Total, Caras-Severin, Anul 2008, Procente, 6
Total, Caras-Severin, Anul 2009, Procente, 10.2
Total, Caras-Severin, Anul 2010, Procente, 9
Total, Caras-Severin, Anul 2011, Procente, 5.6
Total, Caras-Severin, Anul 2012, Procente, 5.5
Total, Caras-Severin, Anul 2013, Procente, 5.7
Total, Caras-Severin, Anul 2014, Procente, 4.5
Total, Caras-Severin, Anul 2015, Procente, 4.2
Total, Caras-Severin, Anul 2016, Procente, 2.2
Total, Caras-Severin, Anul 2017, Procente, 3.6
Total, Hunedoara, Anul 1991, Procente, 4.5
Total, Hunedoara, Anul 1992, Procente, 7.2
Total, Hunedoara, Anul 1993, Procente, 8.3
Total, Hunedoara, Anul 1994, Procente, 10.3
Total, Hunedoara, Anul 1995, Procente, 12
Total, Hunedoara, Anul 1996, Procente, 10.8
Total, Hunedoara, Anul 1997, Procente, 15
Total, Hunedoara, Anul 1998, Procente, 18.7
Total, Hunedoara, Anul 1999, Procente, 21.3
Total, Hunedoara, Anul 2000, Procente, 16.4
Total, Hunedoara, Anul 2001, Procente, 15.3
Total, Hunedoara, Anul 2002, Procente, 9.8
Total, Hunedoara, Anul 2003, Procente, 12.5
Total, Hunedoara, Anul 2004, Procente, 10.8
Total, Hunedoara, Anul 2005, Procente, 9.4
Total, Hunedoara, Anul 2006, Procente, 6.7
Total, Hunedoara, Anul 2007, Procente, 4.8
Total, Hunedoara, Anul 2008, Procente, 6.7
Total, Hunedoara, Anul 2009, Procente, 10.7
Total, Hunedoara, Anul 2010, Procente, 8.5
Total, Hunedoara, Anul 2011, Procente, 6
Total, Hunedoara, Anul 2012, Procente, 6.6
Total, Hunedoara, Anul 2013, Procente, 7.5
Total, Hunedoara, Anul 2014, Procente, 6.6
Total, Hunedoara, Anul 2015, Procente, 6.1
Total, Hunedoara, Anul 2016, Procente, 6
Total, Hunedoara, Anul 2017, Procente, 4.5
Total, Timis, Anul 1991, Procente, 1.2
Total, Timis, Anul 1992, Procente, 4.6
Total, Timis, Anul 1993, Procente, 7.1
Total, Timis, Anul 1994, Procente, 7.2
Total, Timis, Anul 1995, Procente, 4
Total, Timis, Anul 1996, Procente, 2.5
Total, Timis, Anul 1997, Procente, 4
Total, Timis, Anul 1998, Procente, 5.9
Total, Timis, Anul 1999, Procente, 8.4
Total, Timis, Anul 2000, Procente, 7.6
Total, Timis, Anul 2001, Procente, 6.5
Total, Timis, Anul 2002, Procente, 3.9
Total, Timis, Anul 2003, Procente, 3.5
Total, Timis, Anul 2004, Procente, 2.6
Total, Timis, Anul 2005, Procente, 2.3
Total, Timis, Anul 2006, Procente, 2
Total, Timis, Anul 2007, Procente, 1.6
Total, Timis, Anul 2008, Procente, 1.6
Total, Timis, Anul 2009, Procente, 4.5
Total, Timis, Anul 2010, Procente, 3.7
Total, Timis, Anul 2011, Procente, 1.9
Total, Timis, Anul 2012, Procente, 2
Total, Timis, Anul 2013, Procente, 1.9
Total, Timis, Anul 2014, Procente, 1.6
Total, Timis, Anul 2015, Procente, 1.3
Total, Timis, Anul 2016, Procente, 1.1
Total, Timis, Anul 2017, Procente, 1
